date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-11,Portugal,Ireland,3,0,Friendly,0.8834707808585432,0.09067813271961311,0.02585108642184363,0
2024-06-11,San Marino,Cyprus,1,4,Friendly,0.08523036889974761,0.175375180027571,0.7393944510726813,2
2024-06-11,Chile,Paraguay,3,0,Friendly,0.46004600767977316,0.26898042280240636,0.27097356951782037,0
2024-06-11,Lesotho,Rwanda,0,1,FIFA World Cup qualification,0.34499516373556316,0.27673252806395554,0.3782723082004813,2
2024-06-11,South Africa,Zimbabwe,3,1,FIFA World Cup qualification,0.8305393011677267,0.12481721007328322,0.04464348875898994,0
2024-06-11,Cape Verde,Libya,1,0,FIFA World Cup qualification,0.6651560905279548,0.20937671151990056,0.12546719795214473,0
2024-06-11,Mauritius,Eswatini,2,1,FIFA World Cup qualification,0.27625873427720304,0.26992929334581234,0.4538119723769848,0
2024-06-11,Angola,Cameroon,1,1,FIFA World Cup qualification,0.4056885069795777,0.27530418264996265,0.31900731037045976,1
2024-06-11,Zambia,Tanzania,0,1,FIFA World Cup qualification,0.6348922820527398,0.22140934870716789,0.1436983692400921,2
2024-06-11,Morocco,Congo,6,0,FIFA World Cup qualification,0.9245200704065442,0.06142302884521123,0.014056900748244531,0
2024-06-11,Kenya,Ivory Coast,0,0,FIFA World Cup qualification,0.07987982906562768,0.1698697596342493,0.7502504113001232,1
2024-06-11,Gabon,Gambia,3,2,FIFA World Cup qualification,0.520829085349367,0.2568926476287903,0.22227826702184278,0
2024-06-11,Seychelles,Burundi,1,3,FIFA World Cup qualification,0.055938668875233,0.14126422434867553,0.8027971067760915,2
2024-06-11,South Sudan,Sudan,0,3,FIFA World Cup qualification,0.35353741142362577,0.2769221504660388,0.36954043811033555,2
2024-06-12,USA,Brazil,1,1,Friendly,0.2434675659023705,0.2629296620804295,0.49360277201720004,1
2024-06-12,Ecuador,Bolivia,3,1,Friendly,0.7587519581038547,0.16546256525303235,0.07578547664311303,0
2024-06-14,Germany,Scotland,5,1,UEFA Euro,0.6836771359187613,0.20148880212950954,0.11483406195172896,0
2024-06-14,Argentina,Guatemala,4,1,Friendly,0.9288717209587917,0.0581596407369375,0.01296863830427064,0
2024-06-14,El Salvador,Peru,0,1,Friendly,0.08029938133179224,0.17031160737089918,0.7493890112973085,2
2024-06-15,Hungary,Switzerland,1,3,UEFA Euro,0.40148956334426467,0.2756028132660887,0.3229076233896467,2
2024-06-15,Spain,Croatia,3,0,UEFA Euro,0.405852302683983,0.27529196029581177,0.3188557370202053,0
2024-06-15,Italy,Albania,2,1,UEFA Euro,0.8119403263717941,0.13594878030232455,0.052110893325881175,0
2024-06-15,Colombia,Bolivia,3,0,Friendly,0.8871970090002078,0.08812926910265832,0.024673721897133807,0
2024-06-15,Vanuatu,Solomon Islands,1,0,Oceania Nations Cup,0.11559905915977797,0.20207969855922409,0.6823212422809979,0
2024-06-16,Fiji,Papua New Guinea,5,1,Oceania Nations Cup,0.68845537647825,0.19938955617938628,0.1121550673423638,0
2024-06-16,Panama,Paraguay,0,1,Friendly,0.607977796876228,0.23120766552444968,0.1608145375993225,2
2024-06-16,Poland,Netherlands,1,2,UEFA Euro,0.10886078661077889,0.19674273260850017,0.694396480780721,2
2024-06-16,Tahiti,Samoa,2,0,Oceania Nations Cup,0.547933707334257,0.24992061984304972,0.2021456728226934,0
2024-06-16,Slovenia,Denmark,1,1,UEFA Euro,0.20988924917217058,0.2527530953487544,0.5373576554790749,1
